source_platform,source_platform_url,data.id,data.caption.text,data.caption.created_at,data.media_type,data.like_count,data.comment_count
instagram.com,https://www.instagram.com/evppev/,3739651129126955929_8792176294,Heute hat die überparteiliche Allianz 65’672 Unterschriften für das Referendum gegen die vom Parlament beschlossene Einführung der Individualbesteuerung eingereicht. Diese Reform schafft neue Ungerechtigkeiten und ist ein riesiges Bürokratiemonster. Nun entscheidet die Stimmbevölkerung über die Einführung der Individualbesteuerung.,2025-10-09 14:46:33+00:00,1,17,0
instagram.com,https://www.instagram.com/evppev/,3739646931460470795_8792176294,Wir haben heute das Referendum gegen den Steuer-Schwindel erfolgreich eingereicht. Vielen Dank für jede Unterstützung. Auch dann wenns vors Volk kommt. Nein zum Steuer-Schwindel!,2025-10-09 14:38:27+00:00,2,77,1
instagram.com,https://www.instagram.com/evppev/,3731778124703082694_8792176294,"Die Schweiz hat entschieden: Der Eigenmietwert wird abgeschafft, und die Bevölkerung spricht sich - wenn auch sehr knapp - für die Einführung der E-ID aus. Mit diesen beiden wichtigen Entscheiden setzt das Schweizer Stimmvolk ein Zeichen für Veränderung im Steuer- und Digitalbereich. Die Abschaffung des Eigenmietwerts beendet ein lang umstrittenes System der Besteuerung von selbstgenutztem Wohneigentum. Gleichzeitig ebnet das Ja zur staatlich anerkannten E-ID den Weg für eine sichere und zeitgemässe digitale Identität.",2025-09-28 18:04:04+00:00,8,37,1
instagram.com,https://www.instagram.com/evppev/,3730236655789995674_8792176294,Retten wir den Zivildienst. Wir sind bereit fürs Referendum.,2025-09-26 15:02:14+00:00,2,40,2
instagram.com,https://www.instagram.com/evppev/,3730178241928520277_8792176294,Gemeinsam mit der Mehrheit des Nationalrats lehnen wir die «Kündigungsinitiave» ab.,2025-09-26 13:06:06+00:00,2,30,3
instagram.com,https://www.instagram.com/evppev/,3730099879713658821_8792176294,"Herzliche Gratulation, Yvonne Bürgin, zur Wahl als Präsidentin der Mitte-EVP Fraktion.",2025-09-26 10:30:08+00:00,2,88,0
instagram.com,https://www.instagram.com/evppev/,3728801744319959375_8792176294,"National- und Ständerat haben in dieser Session eine SVP-Motion angenommen, welche die Frist für Härtefallgesuche durch vorläufig aufgenommene Menschen von fünf auf zehn Jahre verdoppeln will. Das bedeutet, dass Menschen, die nicht zurück in ihr Herkunftsland können, noch länger in Unsicherheit und oft auch in prekären Umständen in Rückführungszentren verbringen müssen, bevor sie die Chance auf eine reguläre Aufenthaltsbewilligung erhalten. Die EVP hat sich leider erfolglos gegen dieses Vorhaben gewehrt. Eine entsprechende Gesetzesänderung wird nun ausgearbeitet.",2025-09-24 15:30:29+00:00,1,33,0
instagram.com,https://www.instagram.com/evppev/,3728031766003356918_8792176294,"Der Steuer-Schwindel kommt vors Volk!  Mit dem Kanton Aargau hat heute ein achter Kanton das Kantonsreferendum gegen die Individualbesteuerung beschlossen, womit das Kantonsreferendum zustande kommt. Dieses seltene politische Recht wurde genutzt, da mit dem bürokratischen Systemwechsel massive Zusatzkosten auf die kantonalen Steuerbehörden zukommen würden. Für ein starkes Zeichen braucht es jetzt auch das Volksreferendum! Denn auch die Bevölkerung will keinen Steuer-Schwindel, sondern endlich faire Steuern für alle! Die Sammelfrist läuft demnächst aus. Das Referendum kann jetzt noch unterschrieben werden! Link zum Referendum in der Bio",2025-09-23 14:00:44+00:00,1,24,1
instagram.com,https://www.instagram.com/evppev/,3725150210705469331_8792176294,"Seit 40 Jahren ist klar: Die Heiratsstrafe verstösst gegen die Verfassung! Mit der Fairness-Initiative können wir die Heiratsstrafe endlich abschaffen. Damit die eine Diskriminierung aber nicht durch die nächste ersetzt wird, braucht es nun das Referendum gegen den Steuer-Schwindel mit der Individualbesteuerung! 👉 Jetzt unterschreiben! Link in Bio",2025-09-19 14:36:20+00:00,2,31,1
instagram.com,https://www.instagram.com/evppev/,3725087766863182364_8792176294,"✍️💻 Initiativen und Referenden bald online unterschreiben? Der Nationalrat hat für Pilotversüche mit E-Collecting die gesetzliche Grundlage geschaffen. Zudem soll es blinden und sehbehinderten Menschen künftig ermöglicht werden, selbständig abzustimmen.",2025-09-19 12:32:09+00:00,2,19,3
